genotype;group;starvation;date;mean;mean_noextr;amount1a;amount1b;amount2a;amount2b;dilution_1a;dilution_1b;dilution_2a;dilution_2b
w+;5w_fed;no;26.02.2013;0,0784;0,078666667;5,908405797;5,38784141;5,962105263;5,335652174;23,63362319;21,55136564;23,84842105;21,3426087
w+;5w_fed;no;28.02.2013;0,0836;0,084666667;5,02566474;5,074552529;5,096334405;5,248211921;20,10265896;20,29821012;20,38533762;20,99284768
w+;5w_fed;no;03.03.2013;0,091;0,090666667;6,452727273;5,989873418;6,478167939;6,105323741;25,81090909;23,95949367;25,91267176;24,42129496
w+;5w_fed;no;04.03.2013;0,0538;0,052333333;3,272046784;3,37060241;3,191140065;3,425454545;13,08818713;13,48240964;12,76456026;13,70181818
w+;5w_fed;no;13.03.2013;0,0502;0,057666667;3,346666667;3,13248;3,883165468;3,504935065;13,38666667;12,52992;15,53266187;14,01974026
w+;5w_fed;no;14.03.2013;0,0712;0,066333333;4,3643222;3,594563107;4,111788079;3,717844311;17,4572888;14,37825243;16,44715232;14,87137725
w+;5w_fed;no;41347;0,0722;0,068;4,425618861;3,645048544;4,215099338;3,811257485;17,70247544;14,58019417;16,86039735;15,24502994
w+;5w_fed;no;41354;0,0822;0,082333333;5,575304348;5,320829876;5,625109489;5,389090909;22,30121739;21,2833195;22,50043796;21,55636364
w+;5w_fed;no;41360;0,0454;0,045333333;2,182557781;2,692927757;2,187216495;2,702675159;8,730231125;10,77171103;8,748865979;10,81070064
w+;5w_fed;no;41380;0,059;0,055666667;3,726315789;3,984415584;3,532474576;3,803211679;14,90526316;15,93766234;14,12989831;15,21284672
w+;5w_fed;no;41382;0,0698;0,07;5,641865285;5,112112676;5,697391304;5,283870968;22,56746114;20,4484507;22,78956522;21,13548387
w+;5w_fed;no;41382;0,0898;0,09;7,258445596;6,576901408;7,325217391;6,793548387;29,03378238;26,30760563;29,30086957;27,17419355
tbh;6tbh_fed;no;41331;0,1102;0,11;8,304927536;7,573215859;8,336842105;7,460869565;33,21971014;30,29286344;33,34736842;29,84347826
tbh;6tbh_fed;no;41333;0,0908;0,090666667;5,45849711;5,511595331;5,457491961;5,62013245;21,83398844;22,04638132;21,82996785;22,4805298
tbh;6tbh_fed;no;41336;0,0746;0,076;5,289818182;4,910379747;5,430229008;5,117697842;21,15927273;19,64151899;21,72091603;20,47079137
tbh;6tbh_fed;no;41337;0,061;0,064333333;3,70994152;3,821686747;3,92286645;4,210909091;14,83976608;15,28674699;15,6914658;16,84363636
tbh;6tbh_fed;no;41346;0,0702;0,069666667;4,68;4,38048;4,691223022;4,234285714;18,72;17,52192;18,76489209;16,93714286
tbh;6tbh_fed;no;41347;0,034;0,029333333;2,084086444;1,716504854;1,818278146;1,644071856;8,336345776;6,866019417;7,273112583;6,576287425
tbh;6tbh_fed;no;41347;0,0532;0,05;3,260982318;2,685825243;3,099337748;2,80239521;13,04392927;10,74330097;12,39735099;11,20958084
tbh;6tbh_fed;no;41354;0,0848;0,084;5,751652174;5,489128631;5,738978102;5,498181818;23,0066087;21,95651452;22,95591241;21,99272727
tbh;6tbh_fed;no;41360;0,0712;0,070666667;3,422865948;4,223269962;3,409484536;4,212993631;13,69146379;16,89307985;13,63793814;16,85197452
tbh;6tbh_fed;no;41380;0,0482;0,049;3,044210526;3,255064935;3,109423729;3,347737226;12,17684211;13,02025974;12,43769492;13,39094891
tbh;6tbh_fed;no;41382;0,0764;0,075;6,175336788;5,595492958;6,104347826;5,661290323;24,70134715;22,38197183;24,4173913;22,64516129
tbh;6tbh_fed;no;41382;0,0836;0,084;6,757305699;6,122816901;6,836869565;6,340645161;27,0292228;24,49126761;27,34747826;25,36258065
w+;7w_starved;yes;41331;0,008;0,008666667;0,602898551;0,549779736;0,656842105;0,587826087;2,411594203;2,199118943;2,627368421;2,351304348
w+;7w_starved;yes;41333;0,0432;0,043;2,59699422;2,622256809;2,58829582;2,665430464;10,38797688;10,48902724;10,35318328;10,66172185
w+;7w_starved;yes;41336;0,0458;0,046;3,247636364;3,014683544;3,286717557;3,097553957;12,99054545;12,05873418;13,14687023;12,39021583
w+;7w_starved;yes;41337;0,0188;0,017333333;1,143391813;1,177831325;1,056938111;1,134545455;4,573567251;4,711325301;4,227752443;4,538181818
w+;7w_starved;yes;41346;0,0264;0,012666667;1,76;1,64736;0,85294964;0,76987013;7,04;6,58944;3,411798561;3,079480519
w+;7w_starved;yes;41347;0,0542;0,051666667;3,322278978;2,73631068;3,202649007;2,895808383;13,28911591;10,94524272;12,81059603;11,58323353
w+;7w_starved;yes;41347;0,0534;0,048666667;3,27324165;2,69592233;3,016688742;2,727664671;13,0929666;10,78368932;12,06675497;10,91065868
w+;7w_starved;yes;41354;0,0484;0,048333333;3,282782609;3,132946058;3,302189781;3,163636364;13,13113043;12,53178423;13,20875912;12,65454545
w+;7w_starved;yes;41360;0,0244;0,024333333;1,173004622;1,44730038;1,174020619;1,450700637;4,69201849;5,789201521;4,696082474;5,802802548
w+;7w_starved;yes;41380;0,0324;0,031;2,046315789;2,188051948;1,967186441;2,117956204;8,185263158;8,752207792;7,868745763;8,471824818
w+;7w_starved;yes;41382;0,0374;0,038333333;3,023005181;2,73915493;3,12;2,893548387;12,09202073;10,95661972;12,48;11,57419355
w+;7w_starved;yes;41382;0,0468;0,047666667;3,782797927;3,427605634;3,879652174;3,598064516;15,13119171;13,71042254;15,5186087;14,39225806
tbh;8tbh_starved;yes;41331;0,0714;0,086666667;5,380869565;4,906784141;6,568421053;5,87826087;21,52347826;19,62713656;26,27368421;23,51304348
tbh;8tbh_starved;yes;41333;0,048;0,047666667;2,885549133;2,913618677;2,869196141;2,954701987;11,54219653;11,65447471;11,47678457;11,81880795
tbh;8tbh_starved;yes;41336;0,0234;0,022333333;1,659272727;1,540253165;1,595725191;1,503884892;6,637090909;6,161012658;6,382900763;6,015539568
tbh;8tbh_starved;yes;41337;0,0732;0,072666667;4,451929825;4,586024096;4,431009772;4,756363636;17,8077193;18,34409639;17,72403909;19,02545455
tbh;8tbh_starved;yes;41346;0,051;0,049666667;3,4;3,1824;3,344460432;3,018701299;13,6;12,7296;13,37784173;12,07480519
tbh;8tbh_starved;yes;41347;0,0458;0,041666667;2,807387033;2,31223301;2,582781457;2,335329341;11,22954813;9,248932039;10,33112583;9,341317365
tbh;8tbh_starved;yes;41347;0,0436;0,039666667;2,672534381;2,201165049;2,458807947;2,223233533;10,69013752;8,804660194;9,835231788;8,892934132
tbh;8tbh_starved;yes;41354;0,0718;0,070666667;4,869913043;4,647634855;4,828029197;4,625454545;19,47965217;18,59053942;19,31211679;18,50181818
tbh;8tbh_starved;yes;41360;0,0296;0,028666667;1,422989214;1,755741445;1,383092784;1,709044586;5,691956857;7,022965779;5,532371134;6,836178344
tbh;8tbh_starved;yes;41380;0,0174;0,017666667;1,098947368;1,175064935;1,121084746;1,207007299;4,395789474;4,70025974;4,484338983;4,828029197
tbh;8tbh_starved;yes;41382;0,056;0,056;4,52642487;4,101408451;4,557913043;4,227096774;18,10569948;16,4056338;18,23165217;16,9083871
tbh;8tbh_starved;yes;41382;0,0664;0,067333333;5,367046632;4,863098592;5,480347826;5,082580645;21,46818653;19,45239437;21,9213913;20,33032258
