date;fly;genotype;genotype1;starvation;sensillum;group;spikes
May 14;1;CS;3CS;fed;L3;Csfed;49
May 14;2;CS;3CS;fed;L3;Csfed;53
May 14;3;CS;3CS;fed;L3;Csfed;92
May 14;4;CS;3CS;fed;L3;Csfed;60
May 14;5;CS;3CS;fed;L3;Csfed;25
May 14;7;CS;3CS;fed;L3;Csfed;20
May 14;8;CS;3CS;fed;L3;Csfed;51
May 14;1;CS;3CS;fed;L5;Csfed;41
May 14;2;CS;3CS;fed;L5;Csfed;39
May 14;3;CS;3CS;fed;L5;Csfed;50
May 14;4;CS;3CS;fed;L5;Csfed;65
May 14;5;CS;3CS;fed;L5;Csfed;35
May 14;7;CS;3CS;fed;L5;Csfed;41
May 14;8;CS;3CS;fed;L5;Csfed;49
May 14;1;CS;3CS;fed;L7;Csfed;42
May 14;2;CS;3CS;fed;L7;Csfed;48
May 14;3;CS;3CS;fed;L7;Csfed;67
May 14;4;CS;3CS;fed;L7;Csfed;39
May 14;5;CS;3CS;fed;L7;Csfed;30
May 14;6;CS;3CS;fed;L7;Csfed;26
May 14;7;CS;3CS;fed;L7;Csfed;35
May 14;8;CS;3CS;fed;L7;Csfed;50
May 14;1;CS;3CS;starved;L3;CSstarved;52
May 14;3;CS;3CS;starved;L3;CSstarved;29
May 14;4;CS;3CS;starved;L3;CSstarved;84
May 14;5;CS;3CS;starved;L3;CSstarved;84
May 14;6;CS;3CS;starved;L3;CSstarved;73
May 14;7;CS;3CS;starved;L3;CSstarved;51
May 14;8;CS;3CS;starved;L3;CSstarved;59
May 14;9;CS;3CS;starved;L3;CSstarved;75
May 14;1;CS;3CS;starved;L5;CSstarved;70
May 14;4;CS;3CS;starved;L5;CSstarved;37
May 14;5;CS;3CS;starved;L5;CSstarved;81
May 14;6;CS;3CS;starved;L5;CSstarved;70
May 14;7;CS;3CS;starved;L5;CSstarved;65
May 14;8;CS;3CS;starved;L5;CSstarved;67
May 14;1;CS;3CS;starved;L7;CSstarved;74
May 14;3;CS;3CS;starved;L7;CSstarved;16
May 14;4;CS;3CS;starved;L7;CSstarved;58
May 14;5;CS;3CS;starved;L7;CSstarved;85
May 14;6;CS;3CS;starved;L7;CSstarved;74
May 14;7;CS;3CS;starved;L7;CSstarved;70
May 14;8;CS;3CS;starved;L7;CSstarved;67
May 14;9;CS;3CS;starved;L7;CSstarved;63
May 14;1;w1118;3w1118;fed;L3;w1118fed;26
May 14;2;w1118;3w1118;fed;L3;w1118fed;25
May 14;3;w1118;3w1118;fed;L3;w1118fed;24
May 14;5;w1118;3w1118;fed;L3;w1118fed;18
May 14;6;w1118;3w1118;fed;L3;w1118fed;23
May 14;1;w1118;3w1118;fed;L5;w1118fed;26
May 14;2;w1118;3w1118;fed;L5;w1118fed;23
May 14;3;w1118;3w1118;fed;L5;w1118fed;26
May 14;4;w1118;3w1118;fed;L5;w1118fed;13
May 14;5;w1118;3w1118;fed;L5;w1118fed;16
May 14;6;w1118;3w1118;fed;L5;w1118fed;28
May 14;1;w1118;3w1118;fed;L7;w1118fed;38
May 14;2;w1118;3w1118;fed;L7;w1118fed;25
May 14;3;w1118;3w1118;fed;L7;w1118fed;41
May 14;4;w1118;3w1118;fed;L7;w1118fed;16
May 14;5;w1118;3w1118;fed;L7;w1118fed;16
May 14;6;w1118;3w1118;fed;L7;w1118fed;27
May 14;2;w1118;3w1118;starved;L3;w1118starved;29
May 14;3;w1118;3w1118;starved;L3;w1118starved;37
May 14;4;w1118;3w1118;starved;L3;w1118starved;37
May 14;5;w1118;3w1118;starved;L3;w1118starved;25
May 14;6;w1118;3w1118;starved;L3;w1118starved;19
May 14;7;w1118;3w1118;starved;L3;w1118starved;29
May 14;1;w1118;3w1118;starved;L5;w1118starved;26
May 14;2;w1118;3w1118;starved;L5;w1118starved;39
May 14;3;w1118;3w1118;starved;L5;w1118starved;51
May 14;4;w1118;3w1118;starved;L5;w1118starved;46
May 14;5;w1118;3w1118;starved;L5;w1118starved;50
May 14;6;w1118;3w1118;starved;L5;w1118starved;23
May 14;7;w1118;3w1118;starved;L5;w1118starved;17
May 14;1;w1118;3w1118;starved;L7;w1118starved;11
May 14;2;w1118;3w1118;starved;L7;w1118starved;41
May 14;3;w1118;3w1118;starved;L7;w1118starved;32
May 14;4;w1118;3w1118;starved;L7;w1118starved;78
May 14;5;w1118;3w1118;starved;L7;w1118starved;45
May 14;6;w1118;3w1118;starved;L7;w1118starved;21
May 14;7;w1118;3w1118;starved;L7;w1118starved;20
